MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-628-3p	1	5	2	15	2	4		12	7		6	10	3	9	2	6	17	3	8	
hsa-miR-3687	10	10	11	6	15	4	8	6	12	15	7	18	23	6	4	4	4	4	14	17
hsa-miR-4511					1							1					2		1	
hsa-miR-3131																				1
hsa-miR-532-5p	122	700	926	1020	262	220	157	1086	650	54	586	794	343	1059	478	607	1114	271	564	111
hsa-miR-296-5p	3	4	16	20	6	21	7	7	5	6	6	2	6	10	9	13	15	22	16	4
hsa-miR-197-5p			1		1	1		2									1			
hsa-miR-34b-3p	1	8	6	3	4	17	4	5	1		2	6	1	22	3	6	7	8	6	3
hsa-miR-378a-5p	79	186	117	120	26	221	84	239	87	13	214	166	52	420	146	86	514	621	170	26
hsa-miR-6769a-3p						1												1		
hsa-miR-580-5p								1												
hsa-miR-519e-5p				2																
hsa-miR-6802-5p							2													
hsa-miR-1911-5p													4							
hsa-miR-6128	0.5	2.16666666666667	0.5					3	2		0.5	1.5	1	3.33333333333333	2.5	1.5	3.33333333333333	1		
hsa-miR-20a-5p	93.6666666666667	956	1673.83333333333	418.833333333333	104	120.833333333333	127.833333333333	841	694.5	26.3333333333333	595.166666666667	873.666666666667	202	772.666666666667	346.666666666667	233.166666666667	490	117.166666666667	407	135
hsa-miR-5586-5p			1																	
hsa-miR-494-5p											1									
hsa-miR-106a-5p	0.5	10.1666666666667	22	34.8333333333333	1.5	4.16666666666667	2.66666666666667	12.5	9		14.5	13	3	13	6.5	3.83333333333333	12	2.33333333333333	10.8333333333333	2.66666666666667
hsa-miR-4714-5p		1														1				
hsa-miR-4654								1									1			
hsa-miR-188-3p	1	6	3	6	4	4		3	2		4	2	2	2	4	3	7	1	1	
hsa-miR-21-3p	95	2668	8119	1697	646	151	73	1397	1446	65	525	4910	820	1413	330	334	1582	83	565	80
hsa-miR-6859-5p				2	1	1		3						2		1	2	1		
hsa-miR-2355-3p		1	2										1	1	1					
hsa-miR-148b-3p	83.5	1173	1428.5	1704.66666666667	161.5	131.5	91	1005.16666666667	963.5	58	801.333333333333	1021	223	779	404	266	583.333333333333	141.5	351.166666666667	80
hsa-miR-590-3p	3	24	94	11	1	2	2	19	18		14	42	4	10	7	4	14	1	8	
hsa-miR-548u		1													1		1		0.333333333333333	
hsa-miR-100-5p	2635.5	6402.5	4096	5173	2125.5	3237	2406.5	16194	4587	4454.5	5594.5	3982.5	2254.5	13125	5604.5	10077.5	13365.5	5830	5782.5	2122.5
hsa-miR-5697		1																		
hsa-miR-4682				2													1			
hsa-miR-6837-3p			2	3					1		1		1	1			2			
hsa-miR-6774-5p			1	1																
hsa-miR-4519		5	5	3		1	3	3	3	1	1	12	3	1	2		1		3	1
hsa-miR-548v				1					2								2			
hsa-miR-3661		3	2		2			1				1	3			1	2	1	2	
hsa-miR-4791	1	7	15	5	3		1	3	5	1	4	14	3	1	3	3	3		1	2
hsa-miR-4638-3p						1					1	1					2	1		1
hsa-miR-214-5p	8	76	64	40	20	18	10	96	45	10	61	40	28	137	33	38	79	20	26	11
hsa-miR-6808-3p																2				
hsa-miR-4666a-5p									1											
hsa-miR-6500-3p		3		2						1	1	1					2			
hsa-miR-1296-5p	17	61	26	63	30	39	31	82	41	18	39	30	36	76	45	46	80	90	75	10
hsa-miR-6743-3p		1					1						1			1		1		
hsa-miR-511-5p		7	9	4				4	4			9		2	3	2	5		2	
hsa-miR-6892-5p			3			1	1					1		1	1		1			
hsa-miR-301a-3p	29	388	439	233	48	55	45.5	392	246	13	314	313.5	108	420	169	115	261	49	112	38
hsa-miR-328-3p	59	101	82	112	31	140	75	158	61	75	77	67	54	209	100	252	274	270	156	74
hsa-miR-1291	4	28	16	22	13	6	10	28	18	12	19	27	17	9	7	6	7	6	21	13
hsa-miR-190b	1	16	18	16	1		1	13	3		8	20		20	2	2	12	5	4	2
hsa-miR-3912-3p	1	15	5	16			1	10	6		6	12	2	7	1	2	3	1	4	2
hsa-miR-885-3p				2					1											
hsa-miR-3199			1														3			
hsa-miR-495-5p								4						3			2	1		
hsa-miR-152-3p	107	870.5	458	1080.66666666667	211	195	129.5	841.666666666667	660.5	154	585.833333333333	567	244	1320	464	414	631.333333333333	155	419.666666666667	98
hsa-miR-141-5p	19	279	439	346	40	23	24	244	159	8	278	204	53	156	118	64	66	19	84	12
hsa-miR-643			1						1					1	1		3			
hsa-miR-4484	1	2	3	3	1	1	1	2	1	2	2	2		3		1	5		1	
hsa-miR-4676-3p		1										1			2		1			
hsa-miR-361-5p	151	545	493	484	229	299	209	1048	455	177	475	453	294	775	427	518	621	413	536	145
hsa-miR-1908-5p				2	1			1					1		1	1		2		
hsa-miR-2277-3p	1	2	4		1	6	3	6	3		1	1	2	1			3	5	2	2
hsa-miR-6751-3p				2																
hsa-miR-3162-5p													1							
hsa-miR-6757-3p							1												1	
hsa-miR-6871-5p																	1			
hsa-miR-551b-3p		13	1	7		1	2	12	3	1	5	4	6	4		1	6	6	4	
hsa-miR-656-3p	2	16	8	17	3	3	1	22	4	1	17	11	5	31	2	2	23	6	3	
hsa-miR-6821-3p	1					1					1			1			2			
hsa-miR-378i		3.33333333333333	5	0.5			0.5	2.5	1.33333333333333		4.83333333333333	1		2	1		6.5	2.83333333333333	1.5	
hsa-miR-23c	5.5	10.5	4	3	4.5	5.5	5	16.5	7	1.5	12.5	7.5	5.5	10.5	5.5	10.5	10	7.5	6.5	2.5
hsa-miR-4539				2																
hsa-miR-4717-3p							2													
hsa-miR-520c-3p				0.5								0.5								
hsa-miR-517c-3p				2								1								
hsa-miR-6854-5p			1														1			
hsa-miR-518a-5p				2																
hsa-miR-6849-3p				1	1										1					
hsa-miR-6514-5p		1	3					2			1	1								
hsa-miR-770-5p			2	1		1		2	1		4	1		3		1			1	
hsa-miR-3615	35	109	124	49	63	73	40	139	66	24	59	89	58	116	44	60	123	59	101	36
hsa-miR-509-3p	4		4	1				22	16		5	3		12	6	5	1	6	6	
hsa-miR-3621				1					1									1		
hsa-miR-4508	78	102.5	98	103.5	176.5	66	37	96.5	53	199	37	118	126.5	55.5	186	145	76.5	66	69.5	127
hsa-miR-6729-5p															1					
hsa-miR-4496			1									1	1							
hsa-miR-6839-3p														1						
hsa-miR-1323				10				3				1				1				1
hsa-miR-708-3p	15	171	328	49	34	20	24	174	102	5	104	156	29	132	53	34	138	17	51	15
hsa-miR-4521	2	13	18	6	2	1	3	18	10		7	6	4	2	5	1	7	1	9	
hsa-let-7i-5p	488.5	8277.5	17222.5	5638	1173	676	577	7870	7213.5	603.5	3931.5	14629.5	1808.5	6231	1820	1587	7106.5	858	2680.5	488
hsa-miR-548ae			0.5														1			
hsa-miR-33a-5p	22	153	199.5	61	18.5	12	16	120	76	12	108.5	111	22	34	47	27	27	7	33	12
hsa-miR-1287-5p	1	2	8	18		2	1	3	4			4	1	7	4	3	4	1	1	
hsa-miR-4650-5p	1	2	2						2			1	3		1					2
hsa-miR-154-5p	1	21	20	17	11	6	5	29	14	3	16	18	4	36	4	9	37	4	14	4
hsa-miR-449b-3p					1			1												
hsa-miR-6857-3p								3	2		1		1							
hsa-miR-1273g-3p	17	21	29	45	31	9	9	10	16	31	10	32	28	7	38	23	13	12	16	13
hsa-miR-1252-5p											1									
hsa-miR-500b-3p		1	2	1		2	3	1						0.5		1	2.5		1	
hsa-miR-4802-5p			1											1			1			
hsa-miR-216b-5p	2																			
hsa-miR-1226-3p		5	6	2	1	5	2	3	1	2	5	2	1	4	4	4	4	9	5	1
hsa-miR-127-3p	763	5698	3583	8351	2074	2422	993	8490	4674	2530	6200	3257	4004	12314	2457	2313	13889	2572	3703	757
hsa-miR-5004-3p											1									
hsa-miR-2681-5p			1	1		1		2								2		2		
hsa-miR-23b-3p	2390	9626.5	6796.5	3406	2891	5508.5	3597.5	15177.5	7310	1382.5	9710.5	3894.5	3389	13355	5868	6967	8693.5	5895.5	8110.5	3151.5
hsa-miR-654-3p	32	213	92	289	89	84	43	220	166	39	214	119	166	478	85	102	308	113	89	26
hsa-miR-3613-5p		5	44	2	1	5	3	17	6	1	3	19	1	8	2	9	7	1	5	
hsa-miR-5096	2	8	16	10	15	6	4	4	7	3	5	17	9	3	8	9	2	3	8	7
hsa-miR-429	46	557	1017	2499	59	106	109	283	235	12	785	479	118	520	168	111	286	36	490	76
hsa-miR-584-3p																1				1
hsa-miR-3614-5p		2	8	4				1				4		2		2	3		1	1
hsa-miR-508-3p	1	1	1					5	4			4		9	3		1	4	3	
hsa-miR-4762-5p			1					1						1					1	
hsa-miR-6837-5p														1						
hsa-miR-718										1										
hsa-miR-200b-5p	20	65	71	154	12	16	17	39	23		58	39	23	71	22	22	21	12	90	11
hsa-miR-3157-3p		1	1					2	1		3	3	1				2			
hsa-miR-6801-3p												1							1	
hsa-miR-548d-5p		1.75	12.75	4	0.5			4	2.5		3	6.25	0.5	4.5	1		8		2	
hsa-miR-98-3p		9	7	2	1	1	1	7	4		2	14	2	12		4	4	3	3	
hsa-miR-324-5p	7	51	46	41	13	46	20	65	35	8	43	37	19	89	31	40	60	29	57	17
hsa-miR-6795-3p	2	1	3		1	4	1		1		1			1		2		1	1	
hsa-miR-26a-1-3p	1	4	5	5	1			7	2		8	2	2	3	2	1	5	1	2	
hsa-miR-1294		2	1											2						
hsa-miR-6501-5p			2	1	1	1		1			1	2		1			1			
hsa-miR-5696	1		1		1			1				2	1			1	1		1	
hsa-miR-4433-5p		8			2	1	1	1		1	1	2	1	2	3				2	1
hsa-miR-3157-5p			1					2				1								
hsa-miR-548aa				0.5		0.5		0.5				1		0.5	1					
hsa-miR-122-3p								4												
hsa-miR-154-3p		2	4	6	2	4		6	1		2	2		13	1	3	15	2		
hsa-miR-1270			1				1	1			1	2	2	3	1	3	1			
hsa-miR-769-3p	3	5	8	11		3	4	10	1		6	5	2	8	1	3	11	1	12	2
hsa-miR-3168	36	36	33	42	22	36	18	35	28	42	30	17	38	35	30	38	35	43	34	14
hsa-miR-143-3p	9261	137283	84459	186638	20551	11822	10626	86314	37168	10055	85664	144605	22024	163648	40500	40927	138445	22927	64089	8447
hsa-miR-4323	1	1						2			1		2	1		2	1			
hsa-miR-4750-3p									1											
hsa-miR-4665-5p											1						1	2	1	
hsa-miR-4677-5p													1							
hsa-miR-10b-5p	51635	118914	63061.5	47843.5	32652	55353.5	40680	191144.5	100332	43371	118960.5	94737.5	60794	229373	92272	119866	211271.5	110090.5	127190.5	25987
hsa-miR-148b-5p	6	57	71	66	9	6	10	46	41	1	38	43	18	46	12	12	44	12	20	7
hsa-miR-7705		8	13	4				8	4		1	5	1	1			3			
hsa-miR-3129-5p											1					1	1			
hsa-miR-6755-5p												1	1							
hsa-miR-6847-3p						1					1									
hsa-miR-512-3p			1	11				2			1	10	2				2			
hsa-miR-153-3p	3	35	4	55			2	34	16	2	10	15	3	9	2	7	17	5	7	5
hsa-miR-4454	3710	12366.5	5572	9401	6477	3140	3354	8315	5114.5	2674.5	9795.5	7733	6349.5	10571.5	12767	5842	10484.5	2793	5644.5	4834
hsa-miR-8064											1									
hsa-miR-1343-5p													1				1			
hsa-miR-7110-3p								1								1				
hsa-miR-423-3p	757	1349	1732	1997	463	1181	800	1960	920	479	1242	1242	1096	2261	1009	1577	1773	1516	1648	577
hsa-miR-331-5p	1	25	22	11	8	11	4	19	10	3	20	13	12	28	7	8	17	11	14	3
hsa-miR-190a-3p		1	1	3	1			1	2		1			1			1	4	2	
hsa-miR-3960	26	21	31	26	29	31	14	22	24	53	20	35	36	20	36	36	30	30	23	31
hsa-miR-4303																		1		
hsa-miR-610	1							1												
hsa-miR-31-5p	11	14972	9042	211	2250	751	130	4950	5659	43	1420	7240	1069	4855	2324	654	4095	29	3251	687
hsa-miR-935	2	2				4		4	2		2	2	2	6	5	3	3	7	6	1
hsa-miR-518f-3p												1					2			
hsa-miR-541-3p								1				1						1		
hsa-miR-6774-3p								1	1				1	1		1	1			
hsa-miR-762																	1			
hsa-miR-150-3p	4	3	11	4	7	3	3	26	28	3	4	20	14	5	1	17	25	10	9	1
hsa-miR-548aq-5p		1		1																
hsa-miR-3130-5p	1		5		4	1		4	2		3	7	4		1	4	3	2	3	
hsa-miR-6825-3p								1												
hsa-miR-126-5p	1165	15044	15435	7076	1429	1721	1208	12851	8081	1398	11100	22348	3634	19903	5378	4377	13074	2363	5607	898
hsa-miR-6770-3p		1	1	2				4	1				1					1		
hsa-miR-6883-3p						1					1				1	1		2		
hsa-miR-497-3p	3	4	5	6		1	1	6	15	6	7	7	2	10	2	2	9	1	2	
hsa-miR-488-5p														1						
hsa-miR-1258			1					1									1			
hsa-miR-4315									1						1					
hsa-miR-6818-5p				1					1											
hsa-miR-4662b											1									
hsa-miR-676-3p		2	1					2	2		2		1	3		4	5	1	2	
hsa-miR-6881-3p															1					
hsa-miR-6508-3p															1	1				
hsa-miR-6775-3p		1	2			1	1		1			1	1	2	1		1			
hsa-miR-3181			1	1						1		2								
hsa-miR-6721-5p																		1		
hsa-miR-6864-5p																			1	
hsa-miR-3927-3p		1						3	2					1					1	
hsa-miR-6782-3p													1						1	
hsa-miR-5193			1		1			1				2				2		1		
hsa-miR-7106-5p	1																			
hsa-miR-6781-3p			1																	
hsa-miR-376b-3p	1	10	16	12	1	3		11	6		7	8	1	25		7	26	5	6	
hsa-miR-139-3p	1	8	2	5	1	12	2	6	5	4	6	1	6	9	11	13	6	7	9	2
hsa-miR-566									1	1					1					
hsa-miR-371a-5p				2		1														
hsa-miR-491-3p	1		4					1	1		2					2		1		
hsa-miR-4778-3p				1																
hsa-miR-4659a-5p				1																
hsa-miR-651-5p	2	9	26	3		1		8	2		8	10	1	8		1	5	2	3	
hsa-miR-548e-5p	1	6	17.3333333333333	11	4		1	8	5	1	4	14	3.33333333333333	5	4	3	4		2	
hsa-miR-4642			1																	
hsa-miR-422a	1	2	3.5	4	0.5	1.5	1.5	6.5	3.5	0.5	5	2	1	6.83333333333333	4.5	1	13.5	5.5	2.5	
hsa-miR-4261																1				
hsa-miR-376c-3p	19	236	113	280	61	65	27	215.5	133	15	204	86	47	434	58	47	428	82.5	88	12
hsa-miR-4724-3p				1																
hsa-miR-6826-3p				1								1								
hsa-miR-7160-3p							1													
hsa-miR-6744-5p				15															7	
hsa-miR-4524a-3p						1										1	1			
hsa-miR-6867-3p									1							1			1	
hsa-miR-30b-5p	518	2794	2501	3759	589	1005	610	3262	1682	205	2253	2387	674	4501	1314	1830	3768	1268	2088	498
hsa-miR-873-3p	1								1	2		1	1	1			1			
hsa-miR-5687					1															
hsa-miR-9-3p		3	2	16			1	1	2		2	3	1	5		1	2			
hsa-miR-4758-3p	2				1	2										1	1	1		
hsa-miR-362-3p	1	33	63	59	9	2	3	22	26	7	25	51	11	28	20	23	44	5	21	3
hsa-miR-2681-3p							1													
hsa-miR-6858-3p						1				2					1					
hsa-miR-3911												1			1					
hsa-miR-6073									1											
hsa-miR-1257		1									1									
hsa-miR-3684			1								2	1	1			1				
hsa-miR-6512-3p		1												2					1	
hsa-miR-4429	2	3.33333333333333	2.33333333333333	4	2	6	1	2.33333333333333	2	1	5.66666666666667		2	4	2.33333333333333	2	7.33333333333333	8.33333333333333	4.2	4.33333333333333
hsa-miR-4711-5p											1									
hsa-miR-6085													1							
hsa-miR-4667-5p		1																		
hsa-miR-4459															1					
hsa-miR-146b-5p	245.5	2009.5	10433.5	8338.5	721	276	113	4164	8132.5	236.5	516.5	9457.5	1658.5	2155	547.5	668.5	5805.5	191.5	837	127
hsa-miR-6730-5p														1					2	
hsa-miR-378a-3p	2846.16666666667	12107.4166666667	8138.41666666667	6210.33333333333	1527	3957.83333333333	2930.33333333333	13036	7209.91666666667	416.5	12639.1666666667	9801.75	2680.5	20105.5833333333	8353.5	3028.08333333333	36160.5833333333	12623.4166666667	5634.5	745
hsa-miR-4798-3p																	1			
hsa-miR-133b	139	563	66	41.5	16.5	654	168.5	431.5			777.5	755		2022	416.5	15.5	2274	1939.5	334.5	39
hsa-miR-208a-5p	1											1		7	2			2		
hsa-miR-548ah-3p		0.333333333333333							0.666666666666667		1.33333333333333			0.5					1	
hsa-miR-410-5p					2															
hsa-miR-4728-3p	2	3	3	5	2	9	5	4	2	2	4	3	2	5	8	10	4	6	2	2
hsa-miR-572		2		1				1								1				
hsa-miR-4524b-5p											1								1	
hsa-miR-548q			1	1				1	1	3			1	1	2	2	3	2		
hsa-miR-15b-5p	28	301	679.5	291	91	55	69	319.5	326	23	300	375	97	304	151	135	201	69	124	44
hsa-miR-4664-3p		6	4					2		1		2	2	2		1	1		1	1
hsa-miR-6726-5p		1	1																	
hsa-miR-4478											1									
hsa-miR-6797-3p	1				1		1					1		1						1
hsa-miR-3648		3	5	1	2	2			1	7	5	4	7	1	2	3	2	1	1	9
hsa-miR-330-5p	2	40	80	14	5	5	6	36	14	3	16	42	10	23	13	16	33	6	21	5
hsa-miR-139-5p	77	260	136	93	57	180	73	288	130	38	245	169	81	636	173	223	340	315	245	52
hsa-miR-6761-5p								1				1			1		1			
hsa-miR-941	227	224	186	513	186	108	180	336	286	130	224	285	261	377	328	233	464	295	288	67
hsa-miR-301a-5p			2						1			2					3			
hsa-miR-181b-3p		2	2	2				4	2		1	7		4			1			
hsa-miR-937-5p					1				1	1				2	1			1		
hsa-miR-181d-3p												1								
hsa-miR-128-3p	50	317	395	141	70	150	66	411	139	16	366	579	85	777	184	167	896	410	217	28
hsa-miR-6829-5p											1									
hsa-miR-548ap-3p												1	1							
hsa-miR-6855-3p			1				3					1				1			1	
hsa-miR-340-3p	2	8	27	19		2	2	11	9		15	8	6	7	2	2	15	2	9	
hsa-miR-3160-3p												1								
hsa-miR-3158-5p		1	1					1							1					
hsa-miR-4446-5p								1												
hsa-miR-4742-5p								1												1
hsa-miR-451a	407	1581	18286	9265	613	5325	1150	1566	7261	460	6115	10862	677	10821	1243	2970	25473	1937	3976	94
hsa-miR-126-3p	852	6067	5064	3789	1199	1373	842	6353	3697	760	4861	7556	2260	11100	3100	2916	9075	2157	3871	628
hsa-miR-4632-3p			1		2	3				6		1	2		4	3	1	1	1	2
hsa-miR-1237-3p		3	1		1				2		1		1	3	1	2			1	2
hsa-miR-548ag			0.5	1									0.5				1		0.5	
hsa-miR-3194-3p			1	1				1		2										
hsa-miR-4517	3	1	2		1		1	8			2		2	2	4	4	3		4	
hsa-miR-155-3p				1				1				1								
hsa-miR-3128				1							2						1			
hsa-miR-526a				0.25																
hsa-miR-4709-5p				2		1		3			2		1				1		1	1
hsa-miR-1268a	7.5	9.5	12.5	2.5	5	5	7	13.5	9.5	1	6.5	4.5	4	5.5	9.5	4.5	5.5	3	11	2
hsa-miR-2277-5p	2	6	13	4		4	5	9	2	2	9	1	2	9	5		11	6		2
hsa-miR-7152-3p				1																1
hsa-miR-6828-3p						1		1				1								
hsa-miR-3125								1	1									1	1	
hsa-miR-4444								1												
hsa-miR-4498																			1	
hsa-miR-103a-3p	1090.5	6131	7367.5	6367	1750.5	2310	1716.5	8820.5	4937	649	5325.5	5653.5	2721.5	7587.5	4007.5	3988	7019.5	2061.5	4599	1399
hsa-miR-6757-5p											1				1					
hsa-miR-501-5p	3	4	28	11	2	5	6	24	8		10	12	5	11	5	14	26	7	11	
hsa-let-7i-3p	17	183	273	144	53	17	22	183	117	15	80	231	49	176	45	48	226	54	81	19
hsa-miR-5702		1						1				1					1			
hsa-miR-383-3p						1						1								
hsa-miR-342-5p	3	6	29	17	5	4	4	31	32	1	9	27	13	9	9	22	26	7	15	3
hsa-miR-199b-5p	438.5	3711.5	2356.5	2909	709.5	774.5	689	5265.5	3202.5	660.5	3930.5	2618	1328	6788.5	2400	2435.5	4412.5	1357.5	2206.5	501.5
hsa-miR-518e-3p			1	1		1						2					1			
hsa-miR-6821-5p												1								
hsa-miR-6879-3p			1	1	1	1		3	1			1			1		1	2		
hsa-miR-1229-3p	1					2	1	2					1	3		3		2	1	1
hsa-miR-1284			2								1			1						
hsa-miR-642a-3p			3	1	1	1			1		1	1		3			0.5		2	1
hsa-miR-1229-5p												1								
hsa-miR-527				2																
hsa-miR-450a-1-3p									1											
hsa-miR-4499			1																	
hsa-miR-556-5p				1																
hsa-miR-4705			2					3			1				1					
hsa-miR-585-3p	1	8	6	44	1	2	1	15	2	2	12	5		20	3	3	20		10	2
hsa-miR-519a-5p				1.33333333333333	0.166666666666667															
hsa-miR-5094			1								1	1		1						
hsa-miR-3653	4	13	8	27	5	4	7	11	4	3	8	17	8	4	7	12	7	4	3	3
hsa-miR-145-3p	13	163	141	202	19	15	15	161	70	27	105	202	32	185	62	77	161	50	98	10
hsa-miR-2116-5p			2	1				1			2	2								
hsa-miR-4741			1		1														1	
hsa-miR-329-3p		13	8	4	3	4	4	17	2		8	3	6	25	3	1	19	12	7	4
hsa-miR-1915-5p																	1			
hsa-miR-224-5p	42	359	443	15	88	99	90	433	261	22	384	314	101	318	271	134	178	63	152	133
hsa-miR-548t-5p												1.75								
hsa-miR-6789-5p			1																	
hsa-miR-29c-3p	307.5	1540	2226.5	4855	306.5	361	224.5	1887.5	1328.5	325.5	1578.5	3408.5	288	2271.5	729	1126	1942	490.5	1119.5	272
hsa-miR-6840-3p				1		1								2						
hsa-let-7f-5p	991.166666666667	14529.6666666667	20904.1666666667	12529.8333333333	1139.66666666667	1331.33333333333	996.5	10931	8710.16666666666	645.833333333333	8584.99999999999	15722.3333333334	2212.5	7698.49999999999	3731.5	3008.66666666667	7758	1491	3755.5	951.833333333333
hsa-miR-483-5p	3	1		1	2	9	3	1		5	2	1	2	10	1	6	10	22	3	1
hsa-miR-6842-5p			1									1								
hsa-miR-4745-5p						1		2						1						
hsa-miR-548ax												1								
hsa-miR-6511b-5p				0.5		0.5	0.5					0.5		1.5	0.5	1	1.5	0.5		
hsa-miR-3675-3p											1									
hsa-miR-7111-5p																			1	
hsa-miR-144-3p	10	85	1174	364	20	91	21	50	259	31	247	963	19	200	28	80	393	27	75	4
hsa-let-7d-5p	68	739.5	931.5	642	131.5	148	123	749.5	442	36	465.5	675.5	155.5	804	218	243.5	609	206.5	334.5	69.5
hsa-miR-520h		0.5		1																
hsa-miR-4713-5p		1			1			5	2		2		3	1	1	2	3			
hsa-miR-499a-5p	5	59	11	2		11	2	37	2		65	114		141	13		55	15	4	
hsa-miR-4532	711	910	1022	1120	872	1629	459	1946	724	2482	859	1322	733	927	637	1991	2227	1281	794	737
hsa-miR-3607-5p		3	4	4	1	1		3	8	1	5	6	4	1			1	1	1	
hsa-miR-30e-5p	1434.5	13298	19994	17048.5	2087.5	1790	1791.5	16420	12569.5	920.5	13452.5	14164.5	3615.5	14118	6293.5	4135.5	14136.5	2676.5	5822.5	1224.5
hsa-miR-374a-3p	8	194	449	96	18	29	11	137	117	4	114	279	23	114	44	35	77	23	41	9
hsa-miR-1271-5p	4	8	5	4	1	2	3	4	6	3	8	7	2	10	5	7	11	7	4	2
hsa-miR-141-3p	740	10748.5	17585	33084	1101.5	1406	929	8051	4507	333	7345	10845.5	1029.5	5378.5	3250.5	1797	3242.5	490	4339	1495
hsa-miR-186-5p	842	3771	8256	5225	1016	1592	1000	7068	3509	955	3275	4967	1798	5933	1693	3178	4850	1891	3677	754
hsa-miR-339-5p	53	172	178	181	64	94	57	297	98	58	148	130	148	244	114	162	244	104	205	45
hsa-miR-18a-3p	7	11	36	4	7	18	9	14	14	1	8	9	9.5	20	13	19	25	9	8	7
hsa-miR-378b	1	8.25	3.25	2	0.5	0.5	1	3	2.25		8	4.75		9.75	3.5	2.75	14.25	1.75	1	
hsa-miR-486-5p	5268	5279	6924	10984	2589	35018	7679	6758	8239	4289	11393	15905	2051	23218	8727	14012	46420	43250	13952	1064
hsa-miR-7515																		1		
hsa-miR-548j-5p				1		1		3.5	1			1.5		1	2	3	3.5			
hsa-miR-548ay-5p		1.5	34.25	4.5	1.5	1	1	3.5	8.5		3.5	13.75	1	5.5	3	1	4.5		1.5	2
hsa-miR-3936						1														
hsa-miR-1273h-5p		1		5	1	1	1		1			1	1			2		1	1	1
hsa-miR-218-5p	11	113	128	120	5	12	4	76	22	8	63	89	13	72	30	34	35	9	41	3
hsa-miR-5704																1				
hsa-miR-6820-3p		2						1			1	1					1	1	2	
hsa-miR-663b	1	1	1	2	1	1	2	2	2	1	1	3	2	2	3	1		1	1	
hsa-miR-369-5p	1	20	13	23	8	6	6	36	21	5	18	15	15	40	12	7	33	7	15	1
hsa-miR-4450								1							1					
hsa-miR-135a-5p		8.5	17	6	2			2	1		5	4.5		4.5	1	1	6	2	2	1
hsa-miR-6723-5p			2	1	1			1	1	1	1	2			1				1	
hsa-miR-1587		1		1									1				0.5			
hsa-miR-376c-5p		1						0.5	0.5			0.5		1.5			0.5			
hsa-miR-93-5p	223	2012	2612	1241	378	352	313	1888	1328	86	1450	1568	760	1712	1110	718	1494	299	950	239
hsa-miR-6816-5p				1																
hsa-miR-548k	1	13	82.5	27.5	13		6	32	17	1	30.5	32	2	24	9	5	22.5	9	8	1
hsa-miR-6736-5p			1																	
hsa-miR-4725-5p										1	1				3	1			1	1
hsa-miR-6862-5p																	1			1
hsa-miR-4482-5p				1																
hsa-miR-518f-5p				0.25													1			
hsa-miR-6866-3p																	2			
hsa-miR-654-5p	4	7	4	10	5	5	4	14	7	3	10	5	10	19	3	3	11	7	6	2
hsa-miR-99a-3p	6	102	71	70	10	25	27	117	36	6	78	40	27	104	25	42	67	30	44	17
hsa-miR-6511b-3p	6	4	8	4	1	21	10	15	2	4	5	6	5	9	11	21	10	29	5	7
hsa-miR-130b-5p	7	22	35	23	5	14	6	28	13	2	18	18	17	23	17	11	28	8	16	1
hsa-miR-487a-5p				2	2	2		4	1	1	2	2		4		1	2		5	
hsa-miR-6799-3p											1			1				1		
hsa-miR-3064-3p						1		3			1									
hsa-miR-6726-3p		1		4		5	2	3	2			1		2		4		2	1	2
hsa-miR-887-5p	3	1	1	2	1	2	1	7	1	2				4	1	4	4	5	2	
hsa-miR-939-5p			1	2		2	1	2					1		1	1			1	
hsa-miR-4772-3p			2					2	1					1						
hsa-miR-485-5p	4	13	2	13	8	9		7	3	4	5	6	1	17	2	7	18	12	6	3
hsa-miR-4251		1		1						1		1								
hsa-miR-3193																	1			
hsa-miR-1250-3p											1									
hsa-miR-4783-3p																		1		
hsa-miR-4506						1									1					
hsa-miR-6880-3p		1							1			2				3	1	1		1
hsa-miR-6761-3p			2										1			1				
hsa-miR-144-5p	5	38	454	186	6	61	14	18	146	7	139	342	9	156	25	43	282	15	35	1
hsa-miR-6734-3p												1				1				
hsa-miR-379-3p		4	2	2		1	1	3	4	2	4	2	2	7	1	1	3	3	1	1
hsa-miR-122-5p								17				1		1		3				
hsa-miR-1304-3p	9	54	63	17	19	9	16	49	40	1	32	29	16	42	17	14	26	17	27	4
hsa-miR-4530	1	3	2		4	1	1		1	3	2		3		3	2	3	1	1	4
hsa-miR-4707-5p														1		1				
hsa-miR-548f-5p			0.833333333333333									2.36666666666667		0.333333333333333					0.2	
hsa-miR-206	7	20	3	1	1	8	7	8			23	37		57	18		72	30	7	
hsa-miR-136-5p	13	164	187	209	8	17	11	115	86	19	132	169	23	200	55	33	201	17	43	5
hsa-miR-6810-3p		1		1											1		1	2		1
hsa-miR-24-1-5p	2	38	32	8	6	4	2	31	17	1	28	18	4	42	13	6	12	10	13	3
hsa-miR-8072																1		1		
hsa-miR-5010-5p		1				1		1				1					1			
hsa-miR-6125														1						
hsa-miR-4424				1								2		1	1	1	1		1	
hsa-miR-7703	1		3	1							2	2	1							
